id,day,pressure,humidity,cloud,sunshine,winddirection,windspeed,Temp_unificada
2190,1,1019.5,96.0,99.0,0.0,50.0,24.3,-2.6100111258959613
2191,2,1016.5,97.0,99.0,0.0,50.0,35.3,-2.611185634157395
2192,3,1023.9,86.0,96.0,0.0,40.0,16.9,-4.960046489787705
2193,4,1022.9,75.0,45.0,7.1,20.0,50.6,-2.1859297629149994
2194,5,1022.2,68.0,49.0,9.2,20.0,19.4,-4.461136160537995
2195,6,1027.1,76.0,94.0,0.0,20.0,41.4,-3.8505169083954973
2196,7,1022.6,79.0,95.0,0.0,20.0,43.1,-3.9434944313934177
2197,8,1013.5,94.0,93.0,0.2,70.0,41.3,-2.7678194365446243
2198,9,1021.3,85.0,99.0,0.1,20.0,34.0,-3.7497455432936864
2199,10,1026.1,69.0,88.0,0.0,20.0,26.4,-5.516074432518261
2200,11,1017.5,95.0,100.0,0.0,50.0,29.0,-2.75268655584452
2201,12,1021.5,70.0,49.0,9.7,20.0,33.4,-3.731586375631572
2202,13,1019.0,95.0,100.0,0.0,40.0,41.3,-3.182898946058011
2203,14,1012.5,97.0,86.0,0.0,50.0,24.4,-3.316300621101534
2204,15,1023.4,71.0,70.0,5.1,10.0,11.0,-5.983158846084154
2205,16,1022.7,59.0,19.0,9.9,40.0,29.8,-3.968242637201602
2206,17,1025.2,90.0,91.0,0.6,60.0,30.2,-4.88153840856551
2207,18,1024.1,77.0,82.0,0.0,20.0,16.7,-4.036802743876167
2208,19,1025.4,70.0,49.0,10.2,30.0,28.6,-3.2658110195652847
2209,20,1024.1,52.0,19.0,9.1,20.0,32.2,-4.141346027642111
2210,21,1032.2,76.0,51.0,9.0,20.0,19.6,-3.1600794271408597
2211,22,1024.1,72.0,49.0,5.6,40.0,15.4,-3.025094501593674
2212,23,1025.9,78.0,86.0,0.6,20.0,9.2,-1.897119696428621
2213,24,1014.3,97.0,92.0,0.0,50.0,40.0,-0.8595028334178789
2214,25,1012.5,87.0,80.0,3.5,60.0,40.0,-0.4260057599250952
2215,26,1012.5,75.0,66.0,6.0,70.0,9.1,-0.7259150281149864
2216,27,1013.5,58.0,19.0,8.2,20.0,28.5,-1.7272489368002266
2217,28,1012.5,92.0,93.0,0.0,70.0,37.0,-1.269255383562047
2218,29,1013.9,90.0,81.0,1.5,70.0,33.0,-1.0042668872822942
2219,30,1018.0,78.0,68.0,6.3,80.0,17.5,-1.0508195888848406
2220,31,1015.2,90.0,88.0,0.2,20.0,12.5,-1.3986574721559115
2221,32,1013.9,91.0,87.0,0.0,40.0,15.3,-1.4069298448843592
2222,33,1014.9,84.0,83.0,3.4,40.0,17.2,-1.671676686872551
2223,34,1022.2,95.0,93.0,0.0,20.0,29.8,-2.2982976767104906
2224,35,1017.5,82.0,78.0,0.8,40.0,14.2,-0.7819776710593881
2225,36,1014.9,80.0,88.0,0.2,70.0,21.6,-3.286947391627088
2226,37,1014.4,76.0,48.0,5.9,40.0,21.5,-0.7251443541860485
2227,38,1015.9,79.0,94.0,0.7,40.0,21.9,-2.8093464999066335
2228,39,1021.4,75.0,85.0,1.0,50.0,21.8,-2.7137294690348517
2229,40,1016.8,83.0,81.0,0.7,70.0,42.0,-1.806321723160767
2230,41,1013.4,77.0,85.0,2.5,70.0,33.5,-0.5811329055569974
2231,42,1014.5,83.0,81.0,1.3,40.0,21.4,-0.8421363634561778
2232,43,1022.6,76.0,47.0,9.3,20.0,29.0,-2.3197690886118925
2233,44,1017.5,77.0,93.0,0.0,20.0,26.1,-2.5288691317642846
2234,45,1022.7,92.0,92.0,0.2,50.0,18.6,-3.3880601998223066
2235,46,1021.0,76.0,53.0,10.5,60.0,21.5,-1.7800927788292364
2236,47,1013.8,79.0,49.0,9.1,50.0,41.3,-2.9206429889239365
2237,48,1017.1,94.0,93.0,0.2,50.0,28.8,-2.28187245975321
2238,49,1020.4,78.0,59.0,9.0,40.0,27.3,-2.319078726722688
2239,50,1022.5,75.0,83.0,0.0,60.0,33.2,-2.721839899732364
2240,51,1018.4,86.0,100.0,0.0,20.0,34.3,-4.233915683179474
2241,52,1014.4,90.0,100.0,0.0,60.0,27.3,-1.927824396933992
2242,53,1017.0,95.0,100.0,0.1,40.0,26.4,-2.6435383177460934
2243,54,1018.4,95.0,95.0,0.0,20.0,27.9,-3.584153943698216
2244,55,1014.9,95.0,91.0,0.0,60.0,37.9,-1.9574368397315334
2245,56,1019.2,97.0,93.0,0.4,40.0,31.2,-1.5761906534967358
2246,57,1012.3,85.0,93.0,0.1,70.0,19.8,-3.565929168674766
2247,58,1018.8,97.0,79.0,0.0,70.0,23.3,-1.0241745832180027
2248,59,1012.7,79.0,88.0,0.0,40.0,30.6,-1.0396558805447549
2249,60,1012.0,92.0,88.0,0.0,50.0,15.5,-1.1760476162695637
2250,61,1021.4,91.0,88.0,4.7,20.0,25.0,-2.3138786444458375
2251,62,1017.9,94.0,91.0,0.0,40.0,28.6,-2.5696990075967765
2252,63,1019.3,95.0,91.0,0.0,40.0,16.0,-1.1773329494938232
2253,64,1020.9,78.0,86.0,0.6,20.0,25.2,-2.423022544913961
2254,65,1012.3,70.0,69.0,3.4,40.0,30.6,-1.2453942923932977
2255,66,1023.1,63.0,73.0,9.2,70.0,17.2,-3.1697889843024676
2256,67,1019.7,76.0,43.0,10.0,60.0,19.3,-2.331221763968211
2257,68,1016.4,76.0,81.0,0.3,40.0,35.6,-1.1789466818028633
2258,69,1014.2,87.0,79.0,1.5,40.0,14.6,-1.4756343270654355
2259,70,1020.1,70.0,29.0,3.9,30.0,6.1,-2.026822417478483
2260,71,1015.2,95.0,100.0,0.0,50.0,29.3,-2.546242950318739
2261,72,1022.5,75.0,90.0,0.0,70.0,33.0,-1.788284622291246
2262,73,1017.1,91.0,84.0,0.0,40.0,9.8,-0.5535475910011898
2263,74,1013.9,92.0,88.0,1.2,40.0,20.5,-0.3610090353314147
2264,75,1017.4,92.0,88.0,0.0,80.0,25.2,-0.5166718002979168
2265,76,1021.4,84.0,88.0,1.2,40.0,39.5,-0.9751041639135836
2266,77,1012.5,91.0,79.0,0.3,80.0,16.9,-0.0694235729982412
2267,78,1013.4,97.0,88.0,0.6,20.0,33.2,0.24922192210455751
2268,79,1023.8,73.0,60.0,7.7,70.0,14.7,0.4173986756002384
2269,80,1010.5,91.0,88.0,0.1,70.0,28.4,-2.6442271062410625
2270,81,1009.4,90.0,82.0,1.2,50.0,12.1,0.3422589242125696
2271,82,1010.3,92.0,88.0,0.2,70.0,39.7,0.028091761792650768
2272,83,1011.4,79.0,51.0,7.7,40.0,14.5,-0.5898217516728324
2273,84,1011.2,94.0,84.0,2.1,30.0,11.3,-0.7582047119691043
2274,85,1009.9,92.0,81.0,0.0,50.0,16.3,-0.3750819295265115
2275,86,1013.4,95.0,83.0,0.0,40.0,19.0,-0.15912498914402223
2276,87,1011.4,90.0,85.0,1.8,70.0,30.0,0.2662994250500255
2277,88,1013.0,86.0,83.0,3.9,70.0,24.4,0.2769152280533457
2278,89,1013.3,92.0,88.0,0.9,40.0,19.8,-0.23694826644882538
2279,90,1013.4,93.0,84.0,1.2,30.0,20.0,0.23957313372832784
2280,91,1010.2,90.0,83.0,3.5,210.0,14.5,0.6043823191728267
2281,92,1013.5,91.0,85.0,1.4,80.0,26.5,0.7169658714179374
2282,93,1013.0,91.0,83.0,0.0,70.0,14.2,0.009451113160921792
2283,94,1015.6,87.0,88.0,2.2,50.0,10.9,0.36825378756488747
2284,95,1012.3,86.0,88.0,0.2,200.0,13.3,-0.066053049207079
2285,96,1014.6,86.0,87.0,0.3,70.0,25.0,0.9703916266085009
2286,97,1009.5,89.0,88.0,0.3,220.0,30.3,1.1769562277017884
2287,98,1008.2,90.0,83.0,4.8,230.0,13.9,0.6537284853157411
2288,99,1011.3,81.0,86.0,2.9,40.0,7.4,0.47219449718374995
2289,100,1011.1,85.0,73.0,5.8,60.0,28.9,0.5646987713028667
2290,101,1008.5,89.0,88.0,1.6,50.0,29.3,1.0853262812742865
2291,102,1011.7,86.0,83.0,3.9,200.0,13.0,0.9116065561237496
2292,103,1011.4,84.0,70.0,3.0,220.0,14.3,1.0835320049538717
2293,104,1008.3,87.0,88.0,0.3,300.0,21.9,0.9186009147210153
2294,105,1008.9,79.0,88.0,3.3,220.0,26.2,0.7927769423861104
2295,106,1008.2,90.0,84.0,4.9,200.0,16.5,1.465937247099668
2296,107,1008.2,89.0,85.0,0.6,220.0,10.2,1.3412035852423394
2297,108,1008.5,79.0,82.0,2.4,70.0,20.0,1.6784632109657767
2298,109,1011.3,91.0,90.0,1.4,200.0,20.9,1.2304166303839168
2299,110,1012.2,82.0,79.0,1.6,80.0,30.4,0.6315804425884064
2300,111,1008.2,87.0,84.0,2.4,60.0,27.3,1.6387874831345488
2301,112,1010.3,78.0,74.0,5.5,220.0,15.4,1.0813026249894475
2302,113,1010.5,75.0,81.0,3.3,80.0,11.9,0.9863241785422588
2303,114,1009.9,89.0,88.0,0.3,200.0,24.4,0.980064356486783
2304,115,1009.8,87.0,84.0,1.2,200.0,22.0,1.0678083634393796
2305,116,1009.8,91.0,78.0,2.1,20.0,11.8,0.6891141145630261
2306,117,1012.5,87.0,88.0,0.5,30.0,12.5,0.61251179217904
2307,118,1012.0,81.0,84.0,3.2,70.0,11.8,0.7462686413792397
2308,119,1011.4,82.0,81.0,1.2,80.0,22.1,0.5543114825905616
2309,120,1007.9,82.0,88.0,3.1,220.0,12.5,1.2684225685870485
2310,121,1005.9,78.0,67.0,8.5,230.0,39.3,0.722956704164947
2311,122,1013.7,77.0,83.0,2.9,50.0,10.9,0.9665032967335472
2312,123,1010.2,79.0,79.0,6.0,80.0,24.5,0.9115470770136577
2313,124,1012.0,76.0,61.0,8.6,10.0,11.8,1.0735201235487781
2314,125,1008.1,78.0,86.0,3.3,140.0,24.4,1.3323258446310657
2315,126,1009.8,79.0,61.0,6.0,70.0,27.6,0.9033752199758005
2316,127,1005.9,87.0,88.0,0.2,230.0,20.7,1.1767072543171495
2317,128,1008.1,84.0,88.0,0.4,230.0,15.2,1.5796714354379378
2318,129,1012.5,89.0,88.0,2.6,230.0,29.6,1.3959677636783192
2319,130,1008.8,79.0,83.0,2.3,220.0,15.3,1.828477432784167
2320,131,1008.2,82.0,89.0,3.3,220.0,12.6,1.9408591764763825
2321,132,1009.8,82.0,84.0,1.2,190.0,20.5,1.5699430914103945
2322,133,1007.5,79.0,70.0,7.6,220.0,33.5,2.1494245444096256
2323,134,1011.8,79.0,84.0,1.0,220.0,16.6,1.2523444798046233
2324,135,1007.8,84.0,88.0,0.3,230.0,23.5,1.9377742556862771
2325,136,1008.7,87.0,83.0,2.8,50.0,7.4,2.0783963936582324
2326,137,1007.5,82.0,88.0,0.2,200.0,13.0,1.730446682309532
2327,138,1008.3,87.0,87.0,0.2,230.0,20.3,2.046234678904862
2328,139,1008.4,85.0,86.0,1.0,180.0,20.2,1.3564047387063936
2329,140,1007.5,86.0,93.0,0.9,230.0,24.4,1.8361786485699754
2330,141,1008.8,84.0,88.0,1.3,220.0,41.4,2.030051206356212
2331,142,1006.0,94.0,82.0,11.8,230.0,28.4,1.255873927171381
2332,143,1008.1,78.0,29.0,11.4,220.0,14.5,2.1130576968025085
2333,144,1005.7,85.0,81.0,0.1,60.0,7.9,1.335386942312371
2334,145,1008.8,92.0,91.0,0.5,120.0,14.1,1.445809486190461
2335,146,1008.4,97.0,97.0,0.9,70.0,9.1,1.6953732434081723
2336,147,1006.7,93.0,88.0,0.0,70.0,26.9,1.1215861111035506
2337,148,1008.9,74.0,51.0,11.8,220.0,26.7,1.8484092268312402
2338,149,1005.7,87.0,84.0,0.3,20.0,14.2,0.8708349893428088
2339,150,1006.9,75.0,70.0,8.9,230.0,41.4,2.1131236779998623
2340,151,1004.3,79.0,100.0,3.2,40.0,21.9,2.270723648508691
2341,152,1009.5,84.0,80.0,6.7,180.0,28.8,2.3780560591847
2342,153,1008.4,81.0,86.0,2.1,230.0,26.7,2.301244383211652
2343,154,1010.5,76.0,57.0,10.0,60.0,25.1,1.4300720841130226
2344,155,1006.6,89.0,83.0,6.1,270.0,22.8,2.1995912147158356
2345,156,1008.5,84.0,73.0,5.7,220.0,37.5,2.420545985652485
2346,157,1007.7,61.0,77.0,0.8,20.0,11.8,2.1992177546388785
2347,158,1007.5,79.0,78.0,5.0,220.0,22.8,2.527577016200459
2348,159,1008.1,81.0,78.0,4.5,220.0,21.5,2.2766235849411673
2349,160,1008.9,87.0,82.0,5.7,220.0,10.3,2.0624836022055355
2350,161,1008.4,81.0,79.0,6.7,200.0,25.0,1.7357681427062917
2351,162,1007.5,81.0,84.0,2.5,230.0,14.5,2.0203586171634145
2352,163,1009.9,74.0,46.0,10.8,200.0,24.9,2.278956775277582
2353,164,1009.1,77.0,53.0,10.5,200.0,25.2,2.1174627898123504
2354,165,1008.2,74.0,44.0,10.4,220.0,17.2,2.386554654637567
2355,166,1006.9,79.0,69.0,11.5,200.0,11.3,2.1849196113344895
2356,167,1007.8,89.0,80.0,6.3,220.0,29.8,2.3889699476346564
2357,168,1008.2,86.0,80.0,2.1,250.0,11.2,2.03898745246245
2358,169,1008.9,86.0,83.0,2.3,220.0,12.5,1.6684759003415202
2359,170,1005.0,79.0,43.0,10.1,230.0,11.3,2.6211973624198217
2360,171,1008.5,83.0,77.0,0.9,200.0,23.5,2.0708234024159378
2361,172,1006.4,80.0,69.0,9.5,240.0,29.2,1.7726961540439725
2362,173,1006.9,84.0,88.0,6.3,220.0,29.6,2.0706662694612823
2363,174,1009.9,89.0,48.0,9.1,230.0,12.7,2.0466411295804967
2364,175,1008.8,86.0,88.0,6.5,220.0,13.2,1.991367663712019
2365,176,1009.2,93.0,88.0,0.2,230.0,23.7,1.9705569871163213
2366,177,1008.7,87.0,83.0,1.2,230.0,20.5,1.7941461332366235
2367,178,1006.8,81.0,88.0,0.3,240.0,22.1,1.9456104240459533
2368,179,1006.5,85.0,88.0,3.2,260.0,26.2,1.9719687542631539
2369,180,1008.3,81.0,83.0,8.4,220.0,15.3,2.239343290792513
2370,181,1008.6,87.0,84.0,2.8,160.0,11.3,1.7314822251433388
2371,182,1007.8,81.0,78.0,5.3,220.0,20.9,2.110109519207211
2372,183,1002.4,79.0,38.0,10.0,140.0,22.1,1.7936185598838457
2373,184,1008.2,81.0,88.0,1.0,200.0,16.9,2.3042556211589225
2374,185,1009.8,79.0,72.0,9.1,220.0,14.5,2.225984482761967
2375,186,1008.1,81.0,57.0,6.8,220.0,9.8,1.8218942363288575
2376,187,1008.1,78.0,40.0,8.3,240.0,14.1,1.940603101225373
2377,188,1008.2,83.0,84.0,6.1,220.0,9.4,2.0937973789452506
2378,189,1008.9,87.0,89.0,0.2,190.0,17.5,1.7494287740346683
2379,190,1007.8,78.0,79.0,6.6,220.0,19.6,1.9934075494018961
2380,191,1009.8,82.0,79.0,6.0,230.0,21.2,2.0432559011109372
2381,192,1008.4,81.0,77.0,5.0,220.0,12.0,2.38551911180376
2382,193,1011.0,81.0,72.0,8.5,230.0,19.2,2.3609946777025526
2383,194,1009.9,72.0,32.0,9.0,230.0,12.5,2.1715813807908195
2384,195,1006.3,79.0,78.0,11.8,220.0,7.4,2.263528828809676
2385,196,1010.3,79.0,47.0,7.5,190.0,24.4,1.8723084632347842
2386,197,1008.5,75.0,49.0,10.4,230.0,20.0,2.016990040602506
2387,198,1009.4,78.0,69.0,8.1,220.0,25.0,2.07082905799771
2388,199,1008.5,79.0,78.0,7.7,220.0,24.5,2.230548026677932
2389,200,1008.3,74.0,55.0,11.1,30.0,17.2,2.3593952069021142
2390,201,1008.8,72.0,52.0,9.6,220.0,26.4,2.309759473963858
2391,202,1008.8,82.0,86.0,4.5,270.0,5.5,2.506081288960987
2392,203,1006.0,74.0,58.0,10.9,10.0,25.2,2.474430751094509
2393,204,1010.5,76.0,84.0,4.4,10.0,23.9,2.3306663581195193
2394,205,1009.5,81.0,87.0,3.2,20.0,11.9,1.6295188135318521
2395,206,1006.4,89.0,49.0,9.1,30.0,11.8,2.0373153712677583
2396,207,1005.0,87.0,87.0,1.2,40.0,17.2,1.7248990286880297
2397,208,1008.6,86.0,84.0,6.2,20.0,10.2,1.5190524688371936
2398,209,1010.1,89.0,58.0,7.4,220.0,12.6,2.3914926322456176
2399,210,1008.5,80.0,71.0,10.8,130.0,7.4,1.897042407534367
2400,211,1008.8,81.0,72.0,6.7,220.0,12.5,1.9933876900873813
2401,212,1008.6,77.0,68.0,8.4,220.0,24.8,2.212094737363467
2402,213,1007.5,81.0,69.0,3.2,300.0,21.6,1.644202230245891
2403,214,1004.7,79.0,79.0,6.4,200.0,12.9,1.4765234235194873
2404,215,1000.3,84.0,87.0,0.7,240.0,12.3,1.6597721323205814
2405,216,1005.9,79.0,82.0,1.7,50.0,13.2,1.5852328201227104
2406,217,1008.1,83.0,81.0,1.1,250.0,21.4,1.9197576434100563
2407,218,1005.4,84.0,84.0,5.6,220.0,9.1,2.263245891211233
2408,219,1008.1,74.0,23.0,10.5,230.0,11.0,2.1272818129277202
2409,220,1007.6,81.0,88.0,1.2,230.0,15.8,1.8093916872963538
2410,221,1007.4,89.0,51.0,7.6,190.0,15.3,2.3650848161304014
2411,222,1005.0,91.0,88.0,1.8,50.0,15.0,1.4084226174337484
2412,223,1007.9,82.0,81.0,1.1,220.0,16.4,1.9641887998318464
2413,224,1008.5,79.0,79.0,4.0,160.0,20.3,2.1134896918741064
2414,225,1008.8,89.0,84.0,2.2,110.0,16.0,0.9891506336813044
2415,226,1012.0,79.0,60.0,8.5,60.0,15.4,1.5099738932881523
2416,227,1010.5,89.0,81.0,2.1,60.0,12.4,1.72858076920999
2417,228,1008.7,83.0,84.0,1.4,210.0,11.3,1.5387659590320335
2418,229,1012.4,89.0,82.0,3.8,50.0,24.4,1.64461904796962
2419,230,1012.2,74.0,74.0,9.2,40.0,14.5,2.183082950982429
2420,231,1010.5,75.0,51.0,7.7,70.0,28.8,1.8155388064925264
2421,232,1011.0,77.0,60.0,9.6,60.0,28.0,2.091182224625521
2422,233,1008.9,84.0,88.0,1.2,70.0,13.0,0.7883534068466758
2423,234,1007.7,93.0,88.0,0.4,100.0,28.0,0.8253941210436588
2424,235,1009.9,89.0,88.0,2.2,230.0,27.6,1.6391030374956495
2425,236,1011.4,77.0,29.0,10.5,70.0,17.2,2.0849333693972483
2426,237,1011.9,75.0,47.0,8.2,60.0,13.7,0.9808919625164509
2427,238,1012.0,84.0,47.0,7.9,80.0,38.0,1.8422800197193279
2428,239,1012.0,84.0,78.0,2.0,230.0,40.8,1.7367249468946002
2429,240,1013.3,77.0,61.0,10.0,40.0,9.2,1.5045002668458265
2430,241,1015.0,81.0,82.0,4.3,180.0,15.8,1.5196344654973997
2431,242,1014.4,86.0,88.0,0.2,80.0,17.3,1.1917240386430983
2432,243,1014.4,88.0,82.0,2.4,70.0,18.0,0.9812856557439421
